Akins HS,12000,newTeamAkins,0
Canyon Ridge MS,8424,E-Cubed,1
Connally HS,4027,Rock Cat,0
Connally HS,5767,Team5767,0
Connally HS,5809,Dark Horse,1
Florence HS,4798,ROBUFFS - Dough Boys,0
Florence HS,4812,ROBUFFS - Team One,0
Four Points MS,7079,Faltech,2
Glenn HS,201700300,GrizzlyBots,0
Harmony HS,8048,Blitzkrieg,0
Hill Country Christian HS,11093,MegaKnytes,0
LASA HS,4290,LASA High Phidelity,3
LASA HS,5998,LASA Ultra-Violet,0
LASA HS,9875,LASA MurPHy,0
Leander HS,4733,RoboTech,0
Manor New Tech HS,6846,Cuttlefish,0
Manor New Tech HS,7653,Tech Rangers,0
Meridian HS,6937,Ctrl+F8,0
Neighborhood 1,11090,ChaosMonkeyz,4
Neighborhood 2,11345,Toothless,0
Neighborhood 3,5815,Disgruntled Robots,1
Reagan HS,4722,Robo Raiders,0
Reagan HS,4723,Raider Robotics,0
Reagan HS,5764,Blue Sabers,1
Rouse HS,7064,Techno Inferno,0
St. Dominic Savio HS,3708,Iron Eagles Optimus,1
St. Dominic Savio HS,6272,Iron Eagles Prime,0
St. Dominic Savio HS,8814,Iron Eagles Guardian,1
St. Dominic Savio HS,8815,Iron Eagles Silverbolt,0
St. Gabriel's Catholic MS,8886,Saber Robotics,1
Texas School for the Deaf HS,8541,Blue Chargerbots,1
Vandegrift HS,4545,ViperBots Ourboros,2
Vandegrift HS,4546,ViperBots SnakeByte,0
Vandegrift HS,6209,ViperBots Venom,3
Vandegrift HS,6210,ViperBots Stryke,1
Vandegrift HS,6299,ViperBots QuadX,4
Vandegrift HS,7161,ViperBots Hydra,1
Vandegrift HS,11503,ViperBots HyperFang,0
Westlake HS,3781,Pi-Rhos,0
Westlake HS,5628,Taus,2
Westlake HS,6504,Omegas,1
Westlake HS,6710,Sigmas,2
Westlake HS,9048,Philobots,3
Westlake HS,9053,Psionics,1
Westlake HS,11549,Rhomans,0
